datetime,instance,mode,method,seed,threads,time_limit_s,status,obj,bound,gap,solver_time_s,total_wall_s,lag_lb,lag_ub,lag_time_s,benders_cuts,heuristic_cost,verified_cost,verified_ok,gurobi_version,gurobi_log
20260714-024239,PSC4-C1-100-10,exact,0,0,0,3600,FEASIBLE,6535649.46,6518039.74,0.00269441,3599.77,3600.00,-1.00,-1.00,-1.00,0,-1.00,6535304.00,1,13.0.2,logs/PSC4-C1-100-10_m0_exact_s0_20260714-024239.gurobi.log
20260714-034242,PSC4-C1-100-5,exact,0,0,0,3600,FEASIBLE,3781006.00,3776585.62,0.00116910,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3781006.00,1,13.0.2,logs/PSC4-C1-100-5_m0_exact_s0_20260714-034242.gurobi.log
20260714-044245,PSC4-C1-50-10,exact,0,0,0,3600,FEASIBLE,3279183.00,3275333.77,0.00117384,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3279183.00,1,13.0.2,logs/PSC4-C1-50-10_m0_exact_s0_20260714-044245.gurobi.log
20260714-054246,PSC4-C1-50-5,exact,0,0,0,3600,OPTIMAL,1909659.00,1909659.00,0.00000000,642.10,642.47,-1.00,-1.00,-1.00,0,-1.00,1909659.00,1,13.0.2,logs/PSC4-C1-50-5_m0_exact_s0_20260714-054246.gurobi.log
20260714-055328,PSC4-C2-100-10,exact,0,0,0,3600,FEASIBLE,6515616.00,5933535.05,0.08933629,3599.23,3600.00,-1.00,-1.00,-1.00,0,-1.00,6513617.00,1,13.0.2,logs/PSC4-C2-100-10_m0_exact_s0_20260714-055328.gurobi.log
20260714-065330,PSC4-C2-100-5,exact,0,0,0,3600,FEASIBLE,3225783.00,3215875.75,0.00307127,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3225783.00,1,13.0.2,logs/PSC4-C2-100-5_m0_exact_s0_20260714-065330.gurobi.log
20260714-075331,PSC4-C2-50-10,exact,0,0,0,3600,FEASIBLE,3007179.00,2983693.81,0.00780971,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,3007179.00,1,13.0.2,logs/PSC4-C2-50-10_m0_exact_s0_20260714-075331.gurobi.log
20260714-091754,PSC4-C3-100-10,exact,0,0,0,3600,FEASIBLE,52692152.00,50608932.36,0.03953567,3599.24,3600.00,-1.00,-1.00,-1.00,0,-1.00,52683766.00,1,13.0.2,logs/PSC4-C3-100-10_m0_exact_s0_20260714-091754.gurobi.log
20260714-101758,PSC4-C3-100-5,exact,0,0,0,3600,FEASIBLE,26262772.00,25575863.56,0.02615521,3599.64,3600.00,-1.00,-1.00,-1.00,0,-1.00,26256202.00,1,13.0.2,logs/PSC4-C3-100-5_m0_exact_s0_20260714-101758.gurobi.log
20260714-111758,PSC4-C3-50-10,exact,0,0,0,3600,FEASIBLE,25653500.00,25550482.39,0.00401573,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,25653500.00,1,13.0.2,logs/PSC4-C3-50-10_m0_exact_s0_20260714-111758.gurobi.log
20260714-121800,PSC4-C3-50-5,exact,0,0,0,3600,FEASIBLE,13062003.00,12998150.68,0.00488840,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,13062003.00,1,13.0.2,logs/PSC4-C3-50-5_m0_exact_s0_20260714-121800.gurobi.log
20260714-131801,PSC4-C4-100-10,exact,0,0,0,3600,FEASIBLE,8659706.00,6620806.74,0.23544671,3599.21,3600.00,-1.00,-1.00,-1.00,0,-1.00,8649499.00,1,13.0.2,logs/PSC4-C4-100-10_m0_exact_s0_20260714-131801.gurobi.log
20260714-141804,PSC4-C4-100-5,exact,0,0,0,3600,FEASIBLE,3636368.00,3575010.71,0.01687323,3599.96,3600.00,-1.00,-1.00,-1.00,0,-1.00,3636368.00,1,13.0.2,logs/PSC4-C4-100-5_m0_exact_s0_20260714-141804.gurobi.log
20260714-151805,PSC4-C4-50-10,exact,0,0,0,3600,FEASIBLE,4109608.00,3374651.72,0.17883854,3599.96,3600.00,-1.00,-1.00,-1.00,0,-1.00,4101807.00,1,13.0.2,logs/PSC4-C4-50-10_m0_exact_s0_20260714-151805.gurobi.log
20260714-161805,PSC4-C4-50-5,exact,0,0,0,3600,FEASIBLE,1877617.00,1841470.78,0.01925111,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,1877617.00,1,13.0.2,logs/PSC4-C4-50-5_m0_exact_s0_20260714-161805.gurobi.log
20260714-171806,PSC4-C5-100-10,exact,0,0,0,3600,FEASIBLE,52381243.00,50887331.54,0.02851997,3598.90,3600.00,-1.00,-1.00,-1.00,0,-1.00,52367512.00,1,13.0.2,logs/PSC4-C5-100-10_m0_exact_s0_20260714-171806.gurobi.log
20260714-181810,PSC4-C5-100-5,exact,0,0,0,3600,FEASIBLE,26093878.00,25811167.53,0.01083436,3599.78,3598.70,-1.00,-1.00,-1.00,0,-1.00,26088905.00,1,13.0.2,logs/PSC4-C5-100-5_m0_exact_s0_20260714-181810.gurobi.log
20260714-191811,PSC4-C5-50-10,exact,0,0,0,3600,FEASIBLE,25710759.00,25640416.93,0.00273590,3600.00,3600.00,-1.00,-1.00,-1.00,0,-1.00,25710454.00,1,13.0.2,logs/PSC4-C5-50-10_m0_exact_s0_20260714-191811.gurobi.log
